시도,파상풍,B형간염,일본뇌염,C형간염,말라리아,레지오넬라증,비브리오패혈증,발진티푸스,발진열,쯔쯔가무시증,렙토스피라증,브루셀라증,공수병,신증후군출혈열,크로이츠펠트-야콥병(CJD) 및 변종크로이츠펠트-야콥병(vCJD),황열,뎅기열,큐열,웨스트나일열,라임병,진드기매개뇌염,유비저,치쿤구니야열,중증열성혈소판감소증후군(SFTS),지카바이러스감염증,매독(1기),매독(2기),매독(3기),매독(선천성),매독(잠복),@엠폭스
전국,22.0,155.0,40.0,0.0,699.0,45.0,37.0,0.0,15.0,"9,513",104.0,5.0,0.0,384.0,33.0,0.0,255.0,27.0,0.0,9.0,0.0,4.0,2.0,79.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
서울,4.0,29.0,10.0,0.0,91.0,11.0,6.0,0.0,0.0,277,6.0,2.0,0.0,18.0,5.0,0.0,92.0,2.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
부산,1.0,10.0,2.0,0.0,6.0,1.0,4.0,0.0,3.0,574,9.0,0.0,0.0,8.0,4.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대구,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,178,1.0,0.0,0.0,2.0,2.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
인천,0.0,10.0,3.0,0.0,108.0,4.0,3.0,0.0,0.0,105,1.0,0.0,0.0,7.0,1.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
광주,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,332,1.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
대전,0.0,7.0,3.0,0.0,6.0,1.0,3.0,0.0,0.0,284,0.0,0.0,0.0,4.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
울산,0.0,9.0,0.0,0.0,4.0,3.0,1.0,0.0,3.0,412,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경기,1.0,42.0,11.0,0.0,417.0,13.0,6.0,0.0,2.0,813,16.0,0.0,0.0,108.0,8.0,0.0,64.0,2.0,0.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
강원,3.0,3.0,0.0,0.0,20.0,5.0,0.0,0.0,0.0,101,3.0,0.0,0.0,17.0,3.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충북,0.0,4.0,1.0,0.0,8.0,1.0,0.0,0.0,2.0,228,3.0,0.0,0.0,17.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
충남,0.0,10.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,858,12.0,0.0,0.0,40.0,1.0,0.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전북,1.0,5.0,0.0,0.0,7.0,0.0,2.0,0.0,0.0,"1,366",5.0,0.0,0.0,51.0,2.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
전남,3.0,4.0,1.0,0.0,4.0,2.0,6.0,0.0,1.0,"1,823",22.0,0.0,0.0,61.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경북,5.0,12.0,3.0,0.0,6.0,0.0,2.0,0.0,1.0,462,7.0,1.0,0.0,26.0,1.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
경남,3.0,7.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,"1,591",17.0,1.0,0.0,19.0,2.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
제주,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,67,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
세종,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
미상,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
